Date,Open,High,Low,Close,Adj Close,Volume
2022-04-07,94.730003,98.589996,89.730003,93.860001,93.860001,3519800
2022-04-08,92.669998,93.620003,90.110001,90.690002,90.690002,2070300
2022-04-11,88.879997,92.059998,86.360001,90.529999,90.529999,2925300
2022-04-12,92.370003,96.589996,89.830002,90.080002,90.080002,2455300
2022-04-13,90.000000,95.459999,89.360001,94.029999,94.029999,2024500
2022-04-14,94.129997,94.339996,88.650002,89.129997,89.129997,2582000
2022-04-18,88.699997,89.342003,85.070000,87.199997,87.199997,2008400
2022-04-19,87.199997,92.870003,86.529999,91.639999,91.639999,2041600
2022-04-20,90.660004,91.489998,83.403999,83.769997,83.769997,3928100
2022-04-21,84.809998,87.760002,78.410004,78.699997,78.699997,3573900
2022-04-22,79.029999,80.624001,75.300003,75.699997,75.699997,3644800
2022-04-25,75.190002,79.889999,74.879997,79.419998,79.419998,3553400
2022-04-26,78.150002,79.050003,73.000000,74.260002,74.260002,3448800
2022-04-27,74.839996,75.690002,68.540001,68.650002,68.650002,6097100
2022-04-28,70.730003,71.410004,65.599998,69.930000,69.930000,6358400
2022-04-29,70.129997,72.099998,66.169998,66.410004,66.410004,3956600
2022-05-02,66.000000,69.059998,64.139999,68.650002,68.650002,4113400
2022-05-03,68.209999,70.699997,66.879997,67.870003,67.870003,2598300
2022-05-04,67.440002,69.739998,62.560001,69.410004,69.410004,5641600
2022-05-05,67.519997,67.519997,60.459999,62.020000,62.020000,5452000
2022-05-06,61.220001,62.139999,55.750000,57.340000,57.340000,6230200
2022-05-09,56.419998,57.130001,49.790001,50.380001,50.380001,7407300
2022-05-10,51.000000,53.650002,44.549999,48.130001,48.130001,19656000
2022-05-11,32.330002,34.750000,29.299999,30.299999,30.299999,50845700
2022-05-12,30.320000,37.544998,29.090000,35.090000,35.090000,28077000
2022-05-13,36.770000,40.490002,36.650002,39.099998,39.099998,15784400
2022-05-16,38.610001,40.000000,35.930000,36.139999,36.139999,9918900
2022-05-17,36.630001,38.619999,34.939999,38.369999,38.369999,9280800
2022-05-18,37.590000,40.750000,37.040001,37.450001,37.450001,12143700
2022-05-19,37.889999,42.680000,37.209999,41.650002,41.650002,11075600
2022-05-20,42.169998,43.349998,38.410000,41.320000,41.320000,8303700
2022-05-23,40.430000,41.889999,39.400002,41.029999,41.029999,5800700
2022-05-24,39.200001,39.240002,34.560001,35.220001,35.220001,12399300
2022-05-25,35.529999,37.860001,34.939999,37.389999,37.389999,6752000
2022-05-26,36.009998,38.860001,36.009998,38.320000,38.320000,6650500
2022-05-27,39.009998,41.680000,39.000000,41.320000,41.320000,6319900
2022-05-31,42.000000,42.689999,39.009998,39.970001,39.970001,12739300
2022-06-01,40.049999,41.930000,37.730000,38.470001,38.470001,5847100
2022-06-02,38.900002,44.389999,38.450001,44.150002,44.150002,8535400
2022-06-03,42.720001,44.099998,41.459999,41.759998,41.759998,6641000
2022-06-06,42.820000,43.580002,40.509998,42.820000,42.820000,8492900
2022-06-07,41.630001,44.355000,41.220001,44.320000,44.320000,4858800
2022-06-08,44.500000,47.119999,44.430000,45.799999,45.799999,5487000
2022-06-09,44.990002,45.169998,41.259998,41.299999,41.299999,8446400
2022-06-10,40.380001,40.400002,36.299999,36.900002,36.900002,11233300
2022-06-13,34.660000,35.650002,33.299999,34.349998,34.349998,8231200
2022-06-14,34.349998,35.299999,33.200001,33.759998,33.759998,6423100
2022-06-15,34.470001,37.250000,34.049999,36.169998,36.169998,8165400
2022-06-16,34.029999,34.605000,31.799999,32.849998,32.849998,7588300
2022-06-17,32.869999,36.029999,32.820000,35.480000,35.480000,8408500
2022-06-21,36.560001,39.110001,36.430000,37.450001,37.450001,5901100
2022-06-22,36.720001,40.240002,36.360001,39.169998,39.169998,6690600
2022-06-23,39.480000,44.669998,39.200001,44.470001,44.470001,10624300
2022-06-24,44.590000,47.139999,44.180000,46.810001,46.810001,13238900
2022-06-27,46.759998,47.299999,42.959999,44.360001,44.360001,7783900
2022-06-28,43.799999,45.290001,40.285000,40.660000,40.660000,7164800
